"game_id","cover_path","trailer_url","screenshot_1","screenshot_2","screenshot_3","screenshot_4","screenshot_5"
1034,"game_media\covers\1034.jpg","https://www.youtube.com/watch?v=-cSFPIwMEq4","game_media\screenshots\1034_1.jpg","game_media\screenshots\1034_2.jpg","game_media\screenshots\1034_3.jpg","game_media\screenshots\1034_4.jpg","game_media\screenshots\1034_5.jpg"
1035,"game_media\covers\1035.jpg","https://www.youtube.com/watch?v=MsbL8lFHrZI","game_media\screenshots\1035_1.jpg","game_media\screenshots\1035_2.jpg","game_media\screenshots\1035_3.jpg","game_media\screenshots\1035_4.jpg","game_media\screenshots\1035_5.jpg"
1036,"game_media\covers\1036.jpg","https://www.youtube.com/watch?v=M80K51DosFo","game_media\screenshots\1036_1.jpg","game_media\screenshots\1036_2.jpg","game_media\screenshots\1036_3.jpg","game_media\screenshots\1036_4.jpg","game_media\screenshots\1036_5.jpg"
1037,"game_media\covers\1037.jpg","https://www.youtube.com/watch?v=SgSX3gOrj60","game_media\screenshots\1037_1.jpg","game_media\screenshots\1037_2.jpg","game_media\screenshots\1037_3.jpg","game_media\screenshots\1037_4.jpg","game_media\screenshots\1037_5.jpg"
1038,"game_media\covers\1038.jpg","https://www.youtube.com/watch?v=u4-FCsiF5x4","game_media\screenshots\1038_1.jpg","game_media\screenshots\1038_2.jpg","game_media\screenshots\1038_3.jpg","game_media\screenshots\1038_4.jpg","game_media\screenshots\1038_5.jpg"
1039,"game_media\covers\1039.jpg","https://www.youtube.com/watch?v=QThDHIu8sZE","game_media\screenshots\1039_1.jpg","game_media\screenshots\1039_2.jpg","game_media\screenshots\1039_3.jpg","game_media\screenshots\1039_4.jpg","game_media\screenshots\1039_5.jpg"
1040,"game_media\covers\1040.jpg","https://www.youtube.com/watch?v=qiYiddjc6cU","game_media\screenshots\1040_1.jpg","game_media\screenshots\1040_2.jpg","game_media\screenshots\1040_3.jpg","game_media\screenshots\1040_4.jpg","game_media\screenshots\1040_5.jpg"
1041,"game_media\covers\1041.jpg","https://www.youtube.com/watch?v=JeGAQXY2FzI","game_media\screenshots\1041_1.jpg","game_media\screenshots\1041_2.jpg","game_media\screenshots\1041_3.jpg","game_media\screenshots\1041_4.jpg","game_media\screenshots\1041_5.jpg"
1042,"game_media\covers\1042.jpg","https://www.youtube.com/watch?v=C19ap2M7DDE","game_media\screenshots\1042_1.jpg","game_media\screenshots\1042_2.jpg","game_media\screenshots\1042_3.jpg","game_media\screenshots\1042_4.jpg","game_media\screenshots\1042_5.jpg"
1043,"game_media\covers\1043.jpg","https://www.youtube.com/watch?v=jK_qkojj8ZU","game_media\screenshots\1043_1.jpg","game_media\screenshots\1043_2.jpg","game_media\screenshots\1043_3.jpg","game_media\screenshots\1043_4.jpg","game_media\screenshots\1043_5.jpg"
1044,"game_media\covers\1044.jpg","https://www.youtube.com/watch?v=IEgBseW52JE","game_media\screenshots\1044_1.jpg","game_media\screenshots\1044_2.jpg","game_media\screenshots\1044_3.jpg","game_media\screenshots\1044_4.jpg","game_media\screenshots\1044_5.jpg"
1045,"game_media\covers\1045.jpg","https://www.youtube.com/watch?v=m3EF-71dodo","game_media\screenshots\1045_1.jpg","game_media\screenshots\1045_2.jpg","game_media\screenshots\1045_3.jpg","game_media\screenshots\1045_4.jpg","game_media\screenshots\1045_5.jpg"
1046,"game_media\covers\1046.jpg","https://www.youtube.com/watch?v=-XkrfU32KMo","game_media\screenshots\1046_1.jpg","game_media\screenshots\1046_2.jpg","game_media\screenshots\1046_3.jpg","game_media\screenshots\1046_4.jpg","game_media\screenshots\1046_5.jpg"
1047,"game_media\covers\1047.jpg","https://www.youtube.com/watch?v=yOzcbtsw_pQ","game_media\screenshots\1047_1.jpg","game_media\screenshots\1047_2.jpg","game_media\screenshots\1047_3.jpg","game_media\screenshots\1047_4.jpg","game_media\screenshots\1047_5.jpg"
1048,"game_media\covers\1048.jpg","https://www.youtube.com/watch?v=BWkKx0GLa5Q","game_media\screenshots\1048_1.jpg","game_media\screenshots\1048_2.jpg","game_media\screenshots\1048_3.jpg","game_media\screenshots\1048_4.jpg","game_media\screenshots\1048_5.jpg"
